url,url_length,https,total_links,safe_links,non_safe_links,length,status,tld,sentiment,label,bad_words
http://www.skiptongolfclub.co.uk,32,0,59,55,4,2899,1,co.uk,0.405084175084175,Good,0
http://www.mckayphotography.com.au/,35,0,96,95,1,3632,1,com.au,0.1783189033189033,Good,0
http://essika-espresso.com/,27,0,0,0,0,42,1,com,0.0,Good,0
http://www.mcparts.com/,23,0,13,13,0,3743,1,com,0.2444715007215007,Good,0
http://elkinstech.com/,22,0,0,0,0,162,0,com,0.5,Good,0
http://www.sigepnyd.com/,24,0,2,0,2,88,1,com,0.1363636363636363,Good,0
http://www.roma.com/,20,0,331,331,0,12546,1,com,0.1777777777777777,Good,0
http://spiders.ucr.edu/avoidbites.html,38,0,28,26,2,6276,1,edu,0.0773939393939394,Good,0
http://surge.ods.org/things_dnd/index.html,42,0,1,0,1,281,0,org,0.4,Good,0
http://www.capoeirausa.com,26,0,14,14,0,9663,1,com,0.1994071146245059,Good,0
http://www.ipl.org/div/potus/gwashington.html,45,0,322,271,51,20409,1,org,0.0227272727272727,Good,0
http://www.oatlands.org/,24,0,73,70,3,6992,1,org,0.0781862745098039,Good,0
http://www.dauntlessmotors.com/,31,0,1,1,0,428,0,com,0.4,Good,0
http://www.devonwoodec.com,26,0,11,11,0,1411,1,com,0.286875,Good,0
http://www.epinions.com/game-titles-consoles-segadreamcast-all-blue_stinger,75,0,0,0,0,121,1,com,0.0,Good,0
http://www.mountainboomer.com/,30,0,18,0,18,6095,1,com,0.1936210317460317,Good,0
http://www.cleanweb.com/,24,0,2,0,2,591,1,com,0.1,Good,0
http://www.jimmypardo.com/,26,0,36,34,2,639,1,com,0.0,Good,0
http://www.aworldofgoodhealth.com/,34,0,26,1,25,4171,1,com,0.0777777777777777,Good,0
http://www.ed.gov/pubs/edreformstudies/edreforms/chap10b.html,61,0,40,38,2,2469,0,gov,0.1852617079889807,Good,0
http://www.angelfire.com/ny5/whoselinemadness/,46,0,10,2,8,1059,1,com,0.1075,Good,0
http://www.nhtassoc.org/,24,0,0,0,0,162,0,org,0.5,Good,0
http://www.petfinder.com/shelters/tx73.html,43,0,99,98,1,6543,0,com,0.2638888888888889,Good,0
http://www.ocf.net/,19,0,66,37,29,6720,1,net,0.0625,Good,0
http://www.ndt.net/article/wcndt00/papers/idn048/idn048.htm,59,0,0,0,0,10527,1,net,0.1292660369933097,Good,0
http://www.saintandrew.org/,27,0,198,194,4,5146,1,org,0.133447619047619,Good,0
