url,url_length,https,total_links,safe_links,non_safe_links,length,status,tld,sentiment,label
http://www.mistress-emmanuelle.com/,35,0,0,0,0,75,0,com,0.0,0
http://www.coco-palm.jp/,24,0,1,0,1,176,1,jp,0.0,0
http://poods.pitas.com/,23,0,128,128,0,9290,1,com,0.10864417989417989,0
http://hotxxx.adultnetservers.com/cock/02/index.htm,51,0,0,0,0,64,1,com,0.0,0
http://www.japanese-school-girls.asian-pornography-pics.com/,60,0,1,0,1,411,1,com,0.225,0
http://www.bdsmvancouver.com/,29,0,0,0,0,57,1,com,0.38409090909090904,0
http://www.brennda.com/index.htm,32,0,1637,0,1637,79977,1,com,0.15381509760451073,0
http://members.tripod.com/~laurenclark/,39,0,16,2,14,853,1,com,0.027333333333333355,0
http://www.1sweetass.com/tightass/,34,0,0,0,0,2400,1,com,0.0,0
http://www.stpauli.net/,23,0,0,0,0,270,0,net,0.0,0
http://www.hentai-sex-and-toons.com,35,0,7,7,0,3273,1,com,0.08479674796747966,0
http://www.angelfire.com/tv2/somethingblue/home.html,52,0,0,0,0,9,1,com,0.0,0
http://openadultdirectory.com/escorts/,38,0,195,171,24,7504,1,com,0.26960059877816894,0
http://www.herby.ru/,20,0,27,1,26,13390,1,ru,0.554375,0
http://www.clit.nude-brunettes.com/,35,0,1,0,1,162,1,com,0.0,0
http://www.custom-jp.net/software/,34,0,0,0,0,79,0,net,0.0,0
http://www.lesbian-porn.net/free-lesbian-porn/lesbian-free-porn/,64,0,0,0,0,10,1,net,0.0,0
http://www.cherryboys.com/allgayhunks/,38,0,55,55,0,5781,1,com,0.24871111111111113,0
http://www.gay-vintage.com/pre/posing/index.html,48,0,1,1,0,145,1,com,0.175,0
http://www.rimba.co.uk/,23,0,0,0,0,148,0,co.uk,0.0,0
http://www.dvdhard.com,22,0,53,53,0,5454,1,com,0.24859903381642512,0
http://caning.wz.cz/,20,0,16,16,0,855,0,cz,0.0,0
